FR0012612646;Groupe Partouche;PARP
FR0012613610;Prodways Group;PWG
FR0012789386;Nextstage;NEXTS
FR0013006558;Showroomprive;SRP
FR0013018124;Nicox;COX
FR0013153541;Maisons du Monde;MDM
FR0013181864;CGG;CGG
FR0013183985;GenSight Biologics;SIGHT
FR0013185857;Abeo;ABEO
FR0013214145;Smcp;SMCP
FR0013233012;Inventiva;IVA
FR0013295789;TFF Group;TFF
FR0013333077;Affluent Medical;AFME
FR0013333432;Thermador Groupe;THEP
FR0013344173;Roche Bobois;RBO
FR0013357621;Wavestone;WAVE
FR0013426004;Claranova;CLA
FR0013482791;Nacon;NACON
FR0013505062;Technicolor;TCH
FR0013506730;Vallourec;VK
FR00140006O9;Solocal Group;LOCAL
FR0014000T90;2MX Organics;2MX
FR0014003G01;Dee Tech Shares;DEE
FR0014003PZ3;Accor Acquisition Company;AAC
FR0014003VY4;HDF (Hydrogene de France);HDF
FR0014004J15;I2PO;I2PO
FR0014005SB3;Forsee Power;FORSE
FR0014007ZB4;Aelis Farma;AELIS
GA0000121459;Total Gabon;EC
NL0010949392;Cnova NV;CNV
AN8068571086;Schlumberger;SLB
BE0003470755;Solvay;SOLB
CH0012214059;Holcim Ltd;HOLN
FI0009000681;Nokia;NOKIA
FR0000031122;Air France - KLM;AF
FR0000031577;Virbac;VIRP
FR0000031684;Rothschild & Co;ROTH
FR0000031775;Vicat;VCT
FR0000033219;Altarea;ALTA
FR0000033409;Fonciere Lyonnaise;FLY
FR0000035081;Icade;ICAD
FR0000039091;Robertet;RBT
FR0000039299;Bollore;BOL
FR0000044448;Nexans;NEX
FR0000044471;Ramsay Generale De Sante;GDS
FR0000045072;Credit Agricole;ACA
FR0000050353;Lisi;FII
FR0000050809;Sopra Steria Group;SOP
FR0000051732;Atos;ATO
FR0000051807;Teleperformance;TEP
FR0000052292;Hermes;RMS
FR0000052516;Vilmorin Cie;RIN
FR0000053225;Metropole Tv;MMT
FR0000054215;Unibel;UNBL
FR0000054470;Ubisoft Entertainment;UBI
FR0000054900;Tf1;TFI
FR0000060303;Covivio Hotels;COVH
FR0000060402;Albioma;ABIO
FR0000061137;Burelle;BUR
FR0000062234;Financiere Odet;ODET
FR0000064578;Covivio;COV
FR0000064784;Peugeot Invest;PEUG
FR0000071946;Alten;ATE
FR0000073272;Safran;SAF
FR0000073298;Ipsos;IPS
FR0000076952;Financiere Artois;ARTO
FR0000077919;Jc Decaux Sa.;DEC
FR0000079659;Cambodge Nom.;CBDG
FR0000120073;Air Liquide;AI
FR0000120172;Carrefour;CA
FR0000120222;Cnp Assurances;CNP
FR0000120271;TotalEnergies;TTE
FR0000120321;L'oreal;OR
FR0000120404;Accor Hotels;AC
FR0000120503;Bouygues;EN
FR0000120578;Sanofi;SAN
FR0000120628;Axa;CS
FR0000120644;Danone;BN
FR0000120685;Natixis;KN
FR0000120693;Pernod Ricard;RI
FR0000120859;Imerys;NK
FR0000120966;Bic;BB
FR0000121014;Lvmh;MC
FR0000121121;Eurazeo;RF
FR0000121147;Faurecia;EO
FR0000121204;Wendel Invest.;MF
FR0000121220;Sodexo;SW
FR0000121261;Michelin;ML
FR0000121329;Thales;HO
FR0000121485;Kering;KER
FR0000121634;Colas;RE
FR0000121667;EssilorLuxottica;EL
FR0000121709;Seb;SK
FR0000121857;Fromageries Bel;FBEL
FR0000121964;Klepierre;LI
FR0000121972;Schneider Electric;SU
FR0000124141;Veolia Environ.;VIE
FR0000124570;Plastic Omnium;POM
FR0000125007;Saint Gobain;SGO
FR0000125338;CapGemini;CAP
FR0000125486;Vinci;DG
FR0000125585;Casino Guichard;CO
FR0000127771;Vivendi;VIV
FR0000130213;Lagardere;MMB
FR0000130395;Remy Cointreau;RCO
FR0000130403;Christian Dior;CDI
FR0000130452;Eiffage;FGR
FR0000130577;Publicis Groupe;PUB
FR0000130809;Societe Generale;GLE
FR0000131104;Bnp Paribas;BNP
FR0000131906;Renault;RNO
FR0000133308;Orange;ORA
FR0000184798;Orpea;ORP
FR0004024222;Interparfums;ITP
FR0004125920;Amundi;AMUN
FR0005691656;Trigano;TRI
FR0006174348;Bureau Veritas;BVI
FR0010040865;Gecina Nom.;GFC
FR0010112524;Nexity;NXI
FR0010208488;Engie;ENGI
FR0010220475;Alstom;ALO
FR0010221234;Eutelsat Com.;ETL
FR0010242511;EDF;EDF
FR0010259150;Ipsen;IPN
FR0010307819;Legrand SA;LR
FR0010313833;Arkema;AKE
FR0010340141;Adp;ADP
FR0010386334;Korian;KORI
FR0010411983;Scor;SCR
FR0010451203;Rexel;RXL
FR0010481960;Argan;ARG
FR0010533075;Getlink (ex: Eurotunnel);GET
FR0010613471;Suez Environnement;SEV
FR0010667147;Coface;COFA
FR0010828137;Carmila;CARM
FR0010908533;Edenred;EDEN
FR0010929125;ID Logistics;IDL
FR0011476928;Fnac Darty;FNAC
FR0011675362;Neoen;NEOEN
FR0011726835;GTT;GTT
FR0011981968;Worldline;WLN
FR0011995588;Voltalia;VLTSA
FR0012435121;Elis;ELIS
FR0012757854;Spie;SPIE
FR0012882389;Pharmagest Inter.;PHA
FR0013154002;Sartorius Stedim Biotech;DIM
FR0013176526;Valeo;FR
FR0013199916;Somfy Intl;SO
FR0013204336;Ldc;LOUP
FR0013227113;Soitec Silicon;SOI
FR0013230612;Tikehau Capital;TKO
FR0013258662;Ald;ALD
FR0013269123;Rubis;RUI
FR0013280286;Biomerieux;BIM
FR0013326246;Unibail Rodamco Wes;URW
FR0013379484;Solutions 30;S30
FR0013447729;Verallia;VRLA
FR0013451333;La Francaise des jeux;FDJ
FR0014000MR3;Eurofins Scient.;ERF
FR0014002DH9;Neonen DS;NEODS
FR0014003FE9;Believe;BLV
FR0014003TT8;Dassault Systemes;DSY
FR0014003U94;Aramis Group;ARAMI
FR0014004L86;Dassault Aviation;AM
FR0014005AL0;Antin infra Partn;ANTIN
FR0014005DA7;Exclusive Networks;EXN
FR0014005HJ9;OVH;OVH
GB0002374006;Diageo;DGE
GB00B5ZN1N88;Segro PLC;SGRO
LU0088087324;SES Sa;SESG
LU0569974404;Aperam;APAM
LU1598757687;Arcelor Mittal;MT
MA0000011488;Maroc Telecom;IAM
MC0000031187;Bains Mer Monaco;BAIN
NL0000226223;Stmicroelectronics;STM
NL0000235190;Airbus;AIR
NL0006294274;Euronext;ENX
NL0014559478;Technip Energies;TE
NL00150001Q9;Stellantis;STLA
US1491231015;Caterpillar Inc;CATR
US3696043013;General Electric;GNE
US58933Y1055;Merck And Co Inc;MRK
BE0003853703;MONTEA C.V.A.;MONT
BE0974338700;Titan Cement;TITC
